Search Methods,avg_result_display_satisfaction,avg_search_quality,avg_search_experience
Keywords within a textbox,4.645669291338582,4.52755905511811,4.984251968503937
"Keywords within a textbox with operators such as AND, OR, quotes, temporal ranges, a user (from/to), has_attachment",4.678571428571429,4.321428571428571,4.642857142857143
Manually e.g. scrolling up and down,4.5,4.428571428571429,4.904761904761905
Natural language phrase/questions,4.4375,3.375,4.8125
searched for his name,7.0,7.0,7.0
