Search Methods,query_example,percent_of_total_entries,num_diary_entries,num_participants
Keywords within a textbox,"""people matter survey""",42.61744966442953,127,16
"Keywords within a textbox with operators such as AND, OR, quotes, temporal ranges, a user (from/to), has_attachment",“Gift contributions”,9.395973154362416,28,7
Manually e.g. scrolling up and down,@Tamer,42.281879194630875,126,17
Natural language phrase/questions,Google drive link,5.369127516778524,16,5
searched for his name,a colleauge,0.33557046979865773,1,1
