Search Intent,percent_of_total_entries,num_search_intents,num_participants
Assigned tasks to members,8.754208754208754,26,11
"Entities (e.g. People, Brands, places, Movies)",16.161616161616163,48,14
Question-answering,3.7037037037037033,11,5
Refresh memory about what was said/discussed,36.02693602693603,107,17
Resources,28.28282828282828,84,15
Work / Social announcements,7.07070707070707,21,10
