Chat Search Objects,percent_of_total_entries,num_diary_entries,num_participants
A URL link,6.7340067340067336,20,9
A document,12.121212121212121,36,11
"Multimedia (e.g. images, videos).",4.713804713804714,14,7
Names of people or channels/groups mentioned in the chat.,10.437710437710438,31,9
"Nothing relevant. Then searched for meeting name, dropped date",0.33670033670033667,1,1
Specific keywords or phrases mentioned in the chat.,7.4074074074074066,22,10
Text messages.,24.242424242424242,72,16
Thread of conversation,34.00673400673401,101,15
