Chat Search Objects,avg_search_quality
A URL link,4.35
A document,4.388888888888889
"Multimedia (e.g. images, videos).",4.214285714285714
Names of people or channels/groups mentioned in the chat.,5.258064516129032
"Nothing relevant. Then searched for meeting name, dropped date",1.0
Specific keywords or phrases mentioned in the chat.,4.590909090909091
Text messages.,4.444444444444445
Thread of conversation,4.158415841584159
