Search Methods,percent_of_total_entries,num_diary_entries,num_participants
Keywords within a textbox,42.76094276094276,127,16
"Keywords within a textbox with operators such as AND, OR, quotes, temporal ranges, a user (from/to), has_attachment",9.427609427609427,28,7
Manually e.g. scrolling up and down,42.42424242424242,126,17
Natural language phrase/questions,5.387205387205387,16,5
