Search Intent,avg_search_quality
Assigned tasks to members,3.9615384615384617
"Entities (e.g. People, Brands, places, Movies)",4.875
Question-answering,5.2727272727272725
Refresh memory about what was said/discussed,4.130841121495327
Resources,4.476190476190476
Work / Social announcements,4.571428571428571
